id,value
d6i250qthhns7392psq0,7155
d6i253648nic73anmgi0,7411
d6i257athhns7392pt0g,7169
d6i25b1keb2s73bf9c50,6672
d6i25dn3o3rs73cblc8g,6348
d6i25g648nic73anmh5g,6459
d6i25if3o3rs73cblcgg,5705
d6i25kn3o3rs73cblcj0,5516
d6i26ne48nic73anming,5361
d6i26pithhns7392pv50,4927
d6i25uithhns7392pu10,7393
d6i260ithhns7392pu40,7346
d6i270v3o3rs73cblec0,7304
d6i273athhns7392pvk0,7245
d6i275pkeb2s73bf9ef0,6226
d6i26g73o3rs73cbldp0,7274
d6i26im48nic73anmih0,6181
d6i26ku48nic73anmikg,5737
d6i25n73o3rs73cblcmg,6512
d6i25s73o3rs73cblctg,6479
d6i26s2thhns7392pv8g,7527
d6i26uathhns7392pvc0,6999
d6i266ithhns7392pubg,7172
d6i26bithhns7392puig,6304
d6i26du48nic73anmib0,6008
d6i27873o3rs73cblekg,6300
d6i27aathhns7392pvt0,5356
d6i27d73o3rs73cbles0,6065
d6i27f9keb2s73bf9eq0,5678
d6i27hn3o3rs73cblf1g,6063
e12c0431-8b82-4b94-a7a5-618e4d82d03a,7226
3856f686-9619-458a-803d-6dc5314986bc,7387
3aa307e2-9f9f-497f-94d2-6166e09e107a,6719
8d1c6e0d-8407-4049-9562-5cb41e9c5211,7024
7baea00f-50b5-4262-9d65-9591b1c4a71b,6880
87a6e301-e733-46e7-8608-49da0eed5a12,6870
9f3f2575-33a5-4b2a-8851-74aa1759a1c1,6854
145fe370-d8a9-4855-b1b1-d0f6f66de33a,6866
5061e45e-54e4-45e2-8804-a68f04e966bd,6878
20dbd687-d9cd-4ffa-b8a7-e90e38693e63,6950
