id,value
d6i1mrathhns7392pc40,9773
d6i27sm48nic73anmkgg,6448
d6i28o2thhns7392q1rg,5611
d6i281e48nic73anmkn0,4748
d6i283m48nic73anmkrg,4412
d6i286athhns7392q0t0,5537
d6i288v3o3rs73cblftg,5358
d6i28bathhns7392q17g,5138
d6i28eathhns7392q1d0,4790
d6i28gqthhns7392q1hg,4307
d6i28j9keb2s73bf9g10,3089
d6i28lu48nic73anmljg,6750
d6i27upkeb2s73bf9fa0,6034
d6i28qf3o3rs73cblgjg,5846
d6i29k73o3rs73cblhmg,5336
d6i29mithhns7392q32g,5604
d6i29p2thhns7392q38g,5436
d6i29rv3o3rs73cbli0g,4398
d6i295u48nic73anmm9g,4921
d6i2a0n3o3rs73cbli60,4230
d6i2a2u48nic73anmncg,5282
d6i29d73o3rs73cblheg,6155
d6i29fm48nic73anmml0,5134
d6i29hu48nic73anmmo0,5510
d6i28sf3o3rs73cblgmg,5121
d6i28un3o3rs73cblgpg,5277
d6i291e48nic73anmm30,4001
d6i293n3o3rs73cblgvg,3463
d6i29uf3o3rs73cbli3g,4424
d6i2989keb2s73bf9gt0,3802
d6i29aqthhns7392q2k0,3533
7cd2d1dd-3875-4f01-8b84-d6a67abe7939,7575
909b8bf0-d859-4770-84ab-b4b127383cea,7517
0e1e8641-54da-4444-b6b8-82accc292dd9,7317
aaee1aa3-c3d7-48d1-91ab-296f022f60cf,6929
ebf730e1-6546-44ae-b7e9-53127f3bf92f,7124
93fa9872-e038-4cb4-9d6b-d8cf2b2ac83f,7104
bfffd0ed-f26d-4569-abbc-0f70f27c653b,7156
c2472f3d-cb43-4816-b589-e33855c8ac89,6592
3b780fc4-43b5-4ce4-aead-53a5d92d116c,6575
49443337-a828-48e2-94f2-d6bce6dfb66a,6866
