id,state,value
d6hmo9m48nic73an8ub0,State 11,0.6276
d6hmoc2thhns7392cbr0,State 11,0.4693
d6hmoe9keb2s73beru40,State 11,0.5162
d6hmogithhns7392cc10,State 11,0.3503
d6hmoj648nic73an8uo0,State 11,0.2867
d6hn0pqthhns7392cl60,State 00,0.6232
d6hn0s9keb2s73bes7dg,State 00,0.5682
d6hn0uathhns7392clcg,State 00,0.5441
d6hn111keb2s73bes7jg,State 00,0.4466
d6hn13e48nic73an988g,State 00,0.3275
d6hn15m48nic73an98b0,State 01,0.639
d6hn17qthhns7392clng,State 01,0.4788
d6hn1a1keb2s73bes7ug,State 01,0.3757
d6hn1c73o3rs73cb89pg,State 01,0.314
d6hn1en3o3rs73cb89v0,State 01,0.3234
d6hn1h648nic73an98s0,State 10,0.6683
d6hn1je48nic73an9900,State 10,0.4406
d6hn1lpkeb2s73bes8d0,State 10,0.3886
d6hn1o2thhns7392cmfg,State 10,0.394
d6hn1qn3o3rs73cb8agg,State 10,0.3341
