id,value
d6i49nsgmsgc73btel0g,6716
d6i49q860irc7392suvg,6626
d6i49skmmeis739ps29g,5752
d6i49v060irc7392sv50,5305
d6i4a2060irc7392sv80,5689
d6i4a4cgmsgc73btelg0,4473
d6i4a6o60irc7392svdg,4799
d6i4a94mmeis739ps2ng,5074
d6i4abcmmeis739ps2r0,4678
d6i4adu33pjc73dkbhag,3443
d6i4ag860irc7392svr0,7265
d6i4ba4mmeis739ps3vg,6556
d6i4aksgmsgc73btem3g,6616
d6i4an860irc7392t030,6331
d6i4apg60irc7392t06g,5974
d6i4bjm33pjc73dkbing,4975
d6i4bmcmmeis739ps4eg,5378
d6i4bp4mmeis739ps4i0,5291
d6i4brm33pjc73dkbj30,4772
d6i4bu4gmsgc73btenmg,4625
d6i4b7o60irc7392t0p0,5732
d6i4aim33pjc73dkbhgg,5340
d6i4bce33pjc73dkbig0,5960
d6i4beo60irc7392t130,5307
d6i4bh4mmeis739ps480,5557
d6i4as633pjc73dkbhrg,4754
d6i4au860irc7392t0d0,4112
d6i4b0o60irc7392t0gg,5165
d6i4b3cmmeis739ps3ng,3912
d6i4b5sgmsgc73btemqg,4048
d6fe8644-20d8-4306-b085-31a15120fa3d,7538
7a33d258-0417-4ff3-9a83-c6015dd88964,7198
012734b5-5dc4-4a30-80e8-3ee33d5c0c10,7189
fcecb94a-1d30-4674-b48e-d09362e475d7,6850
c3c7b4bc-a808-4760-8a76-a0a08c34e5d5,7077
f14c701d-9384-4364-a85b-2ceb5b5a4187,6496
030dd0b7-eafe-42ea-aae5-82192f63cc59,6460
873f3831-6be1-47cc-bb16-10459eeead72,7133
837c9bfb-4281-4da0-9734-d83969e513b4,6614
fa64ad3f-7256-46e6-9ab4-0b97566dbb6c,6964
